�tevilo bliskovitih poplav v Sloveniji od leta 1750 - 2010

Source: https://www.researchgate.net/profile/Tajan-Trobec/publication/322267744_Frequency_and_seasonality_of_flash_floods_in_Slovenia/links/5a4f688e0f7e9bbfacfd0010/Frequency-and-seasonality-of-flash-floods-in-Slovenia.pdf
"OBDOBJE; �tevilo bliskovitih poplav v tem obdobju"
"1750 - 1770; 1"
"1771 - 1790; 0"
"1791 - 1810; 1"
"1811 - 1830; 1"
"1831 - 1850; 1"
"1851 - 1870; 3"
"1871 - 1890; 10"
"1891 - 1910; 14"
"1911 - 1930; 12"
"1931 - 1950; 9"
"1951 - 1970; 23"
"1971 - 1990; 27"
"1991 - 2010; 27"
